pipeline,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids,preferred_id_would_survive,needs_biolink_registration,unsupported_prefixes
disease,GARD:0000061,Femoral hypoplasia - unusual facies syndrome,biolink:Disease,1,GARD:0000061,false,true,GARD
disease,GARD:0000062,Filippi syndrome,biolink:Disease,1,GARD:0000062,false,true,GARD
disease,GARD:0000064,Fountain syndrome,biolink:Disease,1,GARD:0000064,false,true,GARD
disease,GARD:0000065,Galloway-Mowat syndrome,biolink:Disease,1,GARD:0000065,false,true,GARD
disease,GARD:0000068,Aglossia-adactyly syndrome,biolink:Disease,1,GARD:0000068,false,true,GARD
disease,GARD:0000069,Hantavirus pulmonary syndrome,biolink:Disease,1,GARD:0000069,false,true,GARD
disease,GARD:0000070,Kasabach-Merritt syndrome,biolink:Disease,1,GARD:0000070,false,true,GARD
disease,GARD:0000071,Human granulocytic anaplasmosis,biolink:Disease,1,GARD:0000071,false,true,GARD
disease,GARD:0000072,Human monocytic ehrlichiosis,biolink:Disease,1,GARD:0000072,false,true,GARD
disease,GARD:0000073,Hyper-IgM syndrome type 1,biolink:Disease,1,GARD:0000073,false,true,GARD
disease,GARD:0000076,Hypohidrotic ectodermal dysplasia,biolink:Disease,1,GARD:0000076,false,true,GARD
disease,GARD:0000079,"Metaphyseal chondrodysplasia, Jansen type",biolink:Disease,1,GARD:0000079,false,true,GARD
disease,GARD:0000080,Johanson-Blizzard syndrome,biolink:Disease,1,GARD:0000080,false,true,GARD
disease,GARD:0000081,"Intellectual disability, X-linked syndromic, Turner type",biolink:Disease,1,GARD:0000081,false,true,GARD
disease,GARD:0000082,KBG syndrome,biolink:Disease,1,GARD:0000082,false,true,GARD
disease,GARD:0000083,Autosomal dominant Kenny-Caffey syndrome,biolink:Disease,1,GARD:0000083,false,true,GARD
disease,GARD:0000084,Congenital generalized lipodystrophy type 1,biolink:Disease,1,GARD:0000084,false,true,GARD
disease,GARD:0000085,Thanatophoric dysplasia,biolink:Disease,1,GARD:0000085,false,true,GARD
disease,GARD:0000086,Chudley-McCullough syndrome,biolink:Disease,1,GARD:0000086,false,true,GARD
disease,GARD:0000087,Lenz microphthalmia syndrome,biolink:Disease,1,GARD:0000087,false,true,GARD
disease,GARD:0000088,Leri pleonosteosis,biolink:Disease,1,GARD:0000088,false,true,GARD
disease,GARD:0000089,Gastric non-hodgkin lymphoma,biolink:Disease,1,GARD:0000089,false,true,GARD
disease,GARD:0000091,Childhood malignant melanoma,biolink:Disease,1,GARD:0000091,false,true,GARD
disease,GARD:0000092,Acroerythrokeratoderma,biolink:Disease,1,GARD:0000092,false,true,GARD
disease,GARD:0000093,Monilethrix,biolink:Disease,1,GARD:0000093,false,true,GARD
disease,GARD:0000094,Mucolipidosis type IV,biolink:Disease,1,GARD:0000094,false,true,GARD
disease,GARD:0000095,Mulibrey nanism syndrome,biolink:Disease,1,GARD:0000095,false,true,GARD
disease,GARD:0000101,Centronuclear myopathy,biolink:Disease,1,GARD:0000101,false,true,GARD
disease,GARD:0000102,Neu-Laxova syndrome,biolink:Disease,1,GARD:0000102,false,true,GARD
disease,GARD:0000104,Ochoa syndrome,biolink:Disease,1,GARD:0000104,false,true,GARD
disease,GARD:0000105,Cross syndrome,biolink:Disease,1,GARD:0000105,false,true,GARD
disease,GARD:0000106,Oculocerebrocutaneous syndrome,biolink:Disease,1,GARD:0000106,false,true,GARD
disease,GARD:0000108,Adult polyglucosan body disease,biolink:Disease,1,GARD:0000108,false,true,GARD
disease,GARD:0000109,Progressive osseous heteroplasia,biolink:Disease,1,GARD:0000109,false,true,GARD
disease,GARD:0000111,Recurrent respiratory papillomatosis,biolink:Disease,1,GARD:0000111,false,true,GARD
disease,GARD:0000112,Respiratory distress syndrome in premature infants,biolink:Disease,1,GARD:0000112,false,true,GARD
disease,GARD:0000114,Charcot-Marie-Tooth disease X-linked recessive 5,biolink:Disease,1,GARD:0000114,false,true,GARD
disease,GARD:0000115,Acrocephalopolysyndactyly type III,biolink:Disease,1,GARD:0000115,false,true,GARD
disease,GARD:0000116,Alpha-N-acetylgalactosaminidase deficiency type 1,biolink:Disease,1,GARD:0000116,false,true,GARD
disease,GARD:0000117,Schinzel-Giedion syndrome,biolink:Disease,1,GARD:0000117,false,true,GARD
disease,GARD:0000118,Ulnar-mammary syndrome,biolink:Disease,1,GARD:0000118,false,true,GARD
disease,GARD:0000120,Sennetsu fever,biolink:Disease,1,GARD:0000120,false,true,GARD
disease,GARD:0000121,Focal facial dermal dysplasia type III,biolink:Disease,1,GARD:0000121,false,true,GARD
disease,GARD:0000122,Singleton-Merten syndrome,biolink:Disease,1,GARD:0000122,false,true,GARD
disease,GARD:0000125,Acrokerato-elastoidosis,biolink:Disease,1,GARD:0000125,false,true,GARD
disease,GARD:0000127,Summitt syndrome,biolink:Disease,1,GARD:0000127,false,true,GARD
disease,GARD:0000132,Primary cutaneous amyloidosis,biolink:Disease,1,GARD:0000132,false,true,GARD
disease,GARD:0000134,"Spondyloepimetaphyseal dysplasia, Strudwick type",biolink:Disease,1,GARD:0000134,false,true,GARD
disease,GARD:0000137,Dandy-Walker malformation with nasopharyngeal teratoma and diaphragmatic hernia,biolink:Disease,1,GARD:0000137,false,true,GARD
disease,GARD:0000139,Familial atrial myxoma,biolink:Disease,1,GARD:0000139,false,true,GARD
disease,GARD:0000140,Atresia of small intestine,biolink:Disease,1,GARD:0000140,false,true,GARD
disease,GARD:0000143,Hypertrichosis cubiti-short stature syndrome,biolink:Disease,1,GARD:0000143,false,true,GARD
disease,GARD:0000144,Prominent glabella-microcephaly-hypogenitalism syndrome,biolink:Disease,1,GARD:0000144,false,true,GARD
disease,GARD:0000155,Laurin-Sandrow syndrome,biolink:Disease,1,GARD:0000155,false,true,GARD
disease,GARD:0000156,Muscle eye brain disease,biolink:Disease,1,GARD:0000156,false,true,GARD
disease,GARD:0000157,Hirschsprung disease-hearing loss-polydactyly syndrome,biolink:Disease,1,GARD:0000157,false,true,GARD
disease,GARD:0000158,Sarcosine dehydrogenase deficiency,biolink:Disease,1,GARD:0000158,false,true,GARD
disease,GARD:0000159,Scalp-ear-nipple syndrome,biolink:Disease,1,GARD:0000159,false,true,GARD
disease,GARD:0000160,Satoyoshi syndrome,biolink:Disease,1,GARD:0000160,false,true,GARD
disease,GARD:0000162,Cleft palate-large ears-small head syndrome,biolink:Disease,1,GARD:0000162,false,true,GARD
disease,GARD:0000166,Schizencephaly,biolink:Disease,1,GARD:0000166,false,true,GARD
disease,GARD:0000169,Schneckenbecken dysplasia,biolink:Disease,1,GARD:0000169,false,true,GARD
disease,GARD:0000172,Macrocephaly-short stature-paraplegia syndrome,biolink:Disease,1,GARD:0000172,false,true,GARD
disease,GARD:0000174,"Macrogyria, pseudobulbar palsy and intellectual disability",biolink:Disease,1,GARD:0000174,false,true,GARD
disease,GARD:0000175,"Sialic acid storage disease, severe infantile type",biolink:Disease,1,GARD:0000175,false,true,GARD
disease,GARD:0000176,Macrophagic myofasciitis,biolink:Disease,1,GARD:0000176,false,true,GARD
disease,GARD:0000177,Macrosomia-microphthalmia-cleft palate syndrome,biolink:Disease,1,GARD:0000177,false,true,GARD
disease,GARD:0000178,MOMO syndrome,biolink:Disease,1,GARD:0000178,false,true,GARD
disease,GARD:0000180,Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,biolink:Disease,1,GARD:0000180,false,true,GARD
disease,GARD:0000181,Stargardt disease,biolink:Disease,1,GARD:0000181,false,true,GARD
disease,GARD:0000182,Vitelliform macular dystrophy 2,biolink:Disease,1,GARD:0000182,false,true,GARD
disease,GARD:0000183,Bubonic plague,biolink:Disease,1,GARD:0000183,false,true,GARD
disease,GARD:0000184,Yellow nail syndrome,biolink:Disease,1,GARD:0000184,false,true,GARD
disease,GARD:0000185,Y chromosome infertility due to DAZ1 deletion,biolink:Disease,1,GARD:0000185,false,true,GARD
disease,GARD:0000192,Karandikar Maria Kamble syndrome,biolink:Disease,1,GARD:0000192,false,true,GARD
disease,GARD:0000193,Opitz G/BBB syndrome,biolink:Disease,1,GARD:0000193,false,true,GARD
disease,GARD:0000194,Gamma-aminobutyric acid transaminase deficiency,biolink:Disease,1,GARD:0000194,false,true,GARD
disease,GARD:0000195,Hyperkalemic periodic paralysis,biolink:Disease,1,GARD:0000195,false,true,GARD
disease,GARD:0000198,Kugelberg-Welander disease,biolink:Disease,1,GARD:0000198,false,true,GARD
disease,GARD:0000200,Central serous chorioretinopathy,biolink:Disease,1,GARD:0000200,false,true,GARD
disease,GARD:0000201,Ascher syndrome,biolink:Disease,1,GARD:0000201,false,true,GARD
disease,GARD:0000204,Dieterich disease,biolink:Disease,1,GARD:0000204,false,true,GARD
disease,GARD:0000206,Nephronophthisis,biolink:Disease,1,GARD:0000206,false,true,GARD
disease,GARD:0000207,Alveolar echinococcosis,biolink:Disease,1,GARD:0000207,false,true,GARD
disease,GARD:0000212,"Oculodental syndrome, Rutherfurd type",biolink:Disease,1,GARD:0000212,false,true,GARD
disease,GARD:0000213,Axial mesodermal dysplasia spectrum,biolink:Disease,1,GARD:0000213,false,true,GARD
disease,GARD:0000215,Familial caudal dysgenesis,biolink:Disease,1,GARD:0000215,false,true,GARD
disease,GARD:0000216,"Camptodactyly, myopia, and fibrosis of the medial rectus muscle of eye",biolink:Disease,1,GARD:0000216,false,true,GARD
disease,GARD:0000218,Rotor syndrome,biolink:Disease,1,GARD:0000218,false,true,GARD
disease,GARD:0000220,Peripartum cardiomyopathy,biolink:Disease,1,GARD:0000220,false,true,GARD
disease,GARD:0000221,Primary dilated cardiomyopathy,biolink:Disease,1,GARD:0000221,false,true,GARD
disease,GARD:0000223,Acoustic neuroma,biolink:Disease,1,GARD:0000223,false,true,GARD
disease,GARD:0000224,Radio-renal syndrome,biolink:Disease,1,GARD:0000224,false,true,GARD
disease,GARD:0000225,Radial hemimelia,biolink:Disease,1,GARD:0000225,false,true,GARD
disease,GARD:0000226,Rabson-Mendenhall syndrome,biolink:Disease,1,GARD:0000226,false,true,GARD
disease,GARD:0000229,Gomez Lopez Hernandez syndrome,biolink:Disease,1,GARD:0000229,false,true,GARD
disease,GARD:0000230,Microcephaly-deafness-intellectual disability syndrome,biolink:Disease,1,GARD:0000230,false,true,GARD
disease,GARD:0000231,Vanishing white matter disease,biolink:Disease,1,GARD:0000231,false,true,GARD
disease,GARD:0000232,Medullary sponge kidney,biolink:Disease,1,GARD:0000232,false,true,GARD
disease,GARD:0000234,D-Glyceric aciduria,biolink:Disease,1,GARD:0000234,false,true,GARD
disease,GARD:0000236,Hydrocephalus-blue sclerae-nephropathy syndrome,biolink:Disease,1,GARD:0000236,false,true,GARD
disease,GARD:0000237,Dahlberg-Borer-Newcomer syndrome,biolink:Disease,1,GARD:0000237,false,true,GARD
disease,GARD:0000238,Odontomatosis-aortae esophagus stenosis syndrome,biolink:Disease,1,GARD:0000238,false,true,GARD
disease,GARD:0000239,Say-Barber-Miller syndrome,biolink:Disease,1,GARD:0000239,false,true,GARD
disease,GARD:0000241,Scalp defects-postaxial polydactyly syndrome,biolink:Disease,1,GARD:0000241,false,true,GARD
disease,GARD:0000242,Say-field-Coldwell syndrome,biolink:Disease,1,GARD:0000242,false,true,GARD
disease,GARD:0000243,Trigonocephaly-short stature-developmental delay syndrome,biolink:Disease,1,GARD:0000243,false,true,GARD
disease,GARD:0000246,Schisis association,biolink:Disease,1,GARD:0000246,false,true,GARD
disease,GARD:0000247,SCARF syndrome,biolink:Disease,1,GARD:0000247,false,true,GARD
disease,GARD:0000248,Cataract-deafness-hypogonadism syndrome,biolink:Disease,1,GARD:0000248,false,true,GARD
disease,GARD:0000249,"Craniodiaphyseal dysplasia, autosomal dominant",biolink:Disease,1,GARD:0000249,false,true,GARD
disease,GARD:0000250,Schwartz-Jampel syndrome,biolink:Disease,1,GARD:0000250,false,true,GARD
disease,GARD:0000251,Charcot-Marie-Tooth disease with ptosis and parkinsonism,biolink:Disease,1,GARD:0000251,false,true,GARD
disease,GARD:0000257,Intellectual disability-balding-patella luxation-acromicria syndrome,biolink:Disease,1,GARD:0000257,false,true,GARD
disease,GARD:0000258,Radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome,biolink:Disease,1,GARD:0000258,false,true,GARD
disease,GARD:0000259,Nephrogenic diabetes insipidus-intracranial calcification syndrome,biolink:Disease,1,GARD:0000259,false,true,GARD
disease,GARD:0000262,NARP syndrome,biolink:Disease,1,GARD:0000262,false,true,GARD
disease,GARD:0000264,Lowry-Wood syndrome,biolink:Disease,1,GARD:0000264,false,true,GARD
disease,GARD:0000265,Trichodental syndrome,biolink:Disease,1,GARD:0000265,false,true,GARD
disease,GARD:0000267,Keipert syndrome,biolink:Disease,1,GARD:0000267,false,true,GARD
disease,GARD:0000269,Oculootoradial syndrome,biolink:Disease,1,GARD:0000269,false,true,GARD
disease,GARD:0000270,Nicolaides-Baraitser syndrome,biolink:Disease,1,GARD:0000270,false,true,GARD
disease,GARD:0000272,VACTERL with hydrocephalus,biolink:Disease,1,GARD:0000272,false,true,GARD
disease,GARD:0000273,Wrinkly skin syndrome,biolink:Disease,1,GARD:0000273,false,true,GARD
disease,GARD:0000274,X-linked immunoneurologic disorder,biolink:Disease,1,GARD:0000274,false,true,GARD
disease,GARD:0000276,Hypogonadotropic hypogonadism 12 with or without anosmia,biolink:Disease,1,GARD:0000276,false,true,GARD
disease,GARD:0000277,Pilodental dysplasia-refractive errors syndrome,biolink:Disease,1,GARD:0000277,false,true,GARD
disease,GARD:0000280,"Hidrotic ectodermal dysplasia, Halal type",biolink:Disease,1,GARD:0000280,false,true,GARD
disease,GARD:0000282,Lethal osteosclerotic bone dysplasia,biolink:Disease,1,GARD:0000282,false,true,GARD
disease,GARD:0000284,Lymphedema-atrial septal defects-facial changes syndrome,biolink:Disease,1,GARD:0000284,false,true,GARD
disease,GARD:0000287,Acrofrontofacionasal dysostosis type 2,biolink:Disease,1,GARD:0000287,false,true,GARD
disease,GARD:0000288,Hallermann-Streiff syndrome,biolink:Disease,1,GARD:0000288,false,true,GARD
disease,GARD:0000290,Dennis-Fairhurst-Moore syndrome,biolink:Disease,1,GARD:0000290,false,true,GARD
disease,GARD:0000291,Multiple exostoses with spastic tetraparesis,biolink:Disease,1,GARD:0000291,false,true,GARD
disease,GARD:0000292,Ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome,biolink:Disease,1,GARD:0000292,false,true,GARD
disease,GARD:0000296,Short tarsus-absence of lower eyelashes syndrome,biolink:Disease,1,GARD:0000296,false,true,GARD
disease,GARD:0000298,Hypergonadotropic hypogonadism-cataract syndrome,biolink:Disease,1,GARD:0000298,false,true,GARD
disease,GARD:0000299,Late-onset localized junctional epidermolysis bullosa-intellectual disability syndrome,biolink:Disease,1,GARD:0000299,false,true,GARD
disease,GARD:0000301,Generalized resistance to thyroid hormone,biolink:Disease,1,GARD:0000301,false,true,GARD
disease,GARD:0000302,Kostmann syndrome,biolink:Disease,1,GARD:0000302,false,true,GARD
disease,GARD:0000303,Jeune syndrome situs inversus,biolink:Disease,1,GARD:0000303,false,true,GARD
disease,GARD:0000304,Blau syndrome,biolink:Disease,1,GARD:0000304,false,true,GARD
disease,GARD:0000305,Conductive deafness-ptosis-skeletal anomalies syndrome,biolink:Disease,1,GARD:0000305,false,true,GARD
disease,GARD:0000306,Camptodactyly-arthropathy-coxa vara-pericarditis syndrome,biolink:Disease,1,GARD:0000306,false,true,GARD
disease,GARD:0000307,11q partial monosomy syndrome,biolink:Disease,1,GARD:0000307,false,true,GARD
disease,GARD:0000310,CHIME syndrome,biolink:Disease,1,GARD:0000310,false,true,GARD
disease,GARD:0000312,Robinow syndrome,biolink:Disease,1,GARD:0000312,false,true,GARD
disease,GARD:0000314,Saccharopinuria,biolink:Disease,1,GARD:0000314,false,true,GARD
disease,GARD:0000317,Sacral hemangiomas multiple congenital abnormalities,biolink:Disease,1,GARD:0000317,false,true,GARD
disease,GARD:0000319,Sacrococcygeal teratoma,biolink:Disease,1,GARD:0000319,false,true,GARD
disease,GARD:0000320,Fibulo-ulnar hypoplasia-renal anomalies syndrome,biolink:Disease,1,GARD:0000320,false,true,GARD
disease,GARD:0000321,Nail-patella-like renal disease,biolink:Disease,1,GARD:0000321,false,true,GARD
disease,GARD:0000322,Renal dysplasia and retinal aplasia,biolink:Disease,1,GARD:0000322,false,true,GARD
disease,GARD:0000324,Hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,biolink:Disease,1,GARD:0000324,false,true,GARD
disease,GARD:0000325,Twin-to-twin transfusion,biolink:Disease,1,GARD:0000325,false,true,GARD
disease,GARD:0000328,Wandering spleen,biolink:Disease,1,GARD:0000328,false,true,GARD
disease,GARD:0000329,Eosinophilic cellulitis,biolink:Disease,1,GARD:0000329,false,true,GARD
disease,GARD:0000330,Neonatal pseudo-hydrocephalic progeroid syndrome,biolink:Disease,1,GARD:0000330,false,true,GARD
disease,GARD:0000331,Yunis-Varon syndrome,biolink:Disease,1,GARD:0000331,false,true,GARD
disease,GARD:0000332,Beare-Stevenson cutis gyrata syndrome,biolink:Disease,1,GARD:0000332,false,true,GARD
disease,GARD:0000333,Distichiasis-lymphedema syndrome,biolink:Disease,1,GARD:0000333,false,true,GARD
disease,GARD:0000334,Symmetrical dyschromatosis of extremities,biolink:Disease,1,GARD:0000334,false,true,GARD
disease,GARD:0000336,Hereditary spastic paraplegia 23,biolink:Disease,1,GARD:0000336,false,true,GARD
disease,GARD:0000338,Zerres Rietschel Majewski syndrome,biolink:Disease,1,GARD:0000338,false,true,GARD
disease,GARD:0000341,Young syndrome,biolink:Disease,1,GARD:0000341,false,true,GARD
disease,GARD:0000343,Pontocerebellar hypoplasia type 4,biolink:Disease,1,GARD:0000343,false,true,GARD
disease,GARD:0000344,Holoprosencephaly-postaxial polydactyly syndrome,biolink:Disease,1,GARD:0000344,false,true,GARD
disease,GARD:0000345,X-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome,biolink:Disease,1,GARD:0000345,false,true,GARD
disease,GARD:0000346,Hoyeraal-Hreidarsson syndrome,biolink:Disease,1,GARD:0000346,false,true,GARD
disease,GARD:0000347,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome,biolink:Disease,1,GARD:0000347,false,true,GARD
disease,GARD:0000348,Yolk sac tumor,biolink:Disease,1,GARD:0000348,false,true,GARD
disease,GARD:0000349,Neuroaxonal dystrophy renal tubular acidosis,biolink:Disease,1,GARD:0000349,false,true,GARD
disease,GARD:0000350,Skeletal dysplasia-epilepsy-short stature syndrome,biolink:Disease,1,GARD:0000350,false,true,GARD
disease,GARD:0000351,Dacryocystitis-osteopoikilosis syndrome,biolink:Disease,1,GARD:0000351,false,true,GARD
disease,GARD:0000353,Kozlowski Warren Fisher syndrome,biolink:Disease,1,GARD:0000353,false,true,GARD
disease,GARD:0000354,Osteopenia-intellectual disability-sparse hair syndrome,biolink:Disease,1,GARD:0000354,false,true,GARD
disease,GARD:0000358,Pallister-W syndrome,biolink:Disease,1,GARD:0000358,false,true,GARD
disease,GARD:0000359,Cranioectodermal dysplasia,biolink:Disease,1,GARD:0000359,false,true,GARD
disease,GARD:0000360,Abruzzo-Erickson syndrome,biolink:Disease,1,GARD:0000360,false,true,GARD
disease,GARD:0000361,Acalvaria,biolink:Disease,1,GARD:0000361,false,true,GARD
disease,GARD:0000363,Acatalasia,biolink:Disease,1,GARD:0000363,false,true,GARD
disease,GARD:0000364,Aplasia of the nose,biolink:Disease,1,GARD:0000364,false,true,GARD
disease,GARD:0000365,Aromatase deficiency,biolink:Disease,1,GARD:0000365,false,true,GARD
disease,GARD:0000366,Arnold stickler bourne syndrome,biolink:Disease,1,GARD:0000366,false,true,GARD
disease,GARD:0000368,Laryngo-onycho-cutaneous syndrome,biolink:Disease,1,GARD:0000368,false,true,GARD
disease,GARD:0000369,Choroideremia-deafness-obesity syndrome,biolink:Disease,1,GARD:0000369,false,true,GARD
disease,GARD:0000370,"Cholestasis-edema syndrome, Norwegian type",biolink:Disease,1,GARD:0000370,false,true,GARD
disease,GARD:0000371,Qazi Markouizos syndrome,biolink:Disease,1,GARD:0000371,false,true,GARD
disease,GARD:0000372,Neurofibromatosis-Noonan syndrome,biolink:Disease,1,GARD:0000372,false,true,GARD
disease,GARD:0000373,Folliculitis decalvans,biolink:Disease,1,GARD:0000373,false,true,GARD
disease,GARD:0000374,Pectus excavatum-macrocephaly-dysplastic nails syndrome,biolink:Disease,1,GARD:0000374,false,true,GARD
disease,GARD:0000375,Cleft lip/palate-ectodermal dysplasia syndrome,biolink:Disease,1,GARD:0000375,false,true,GARD
disease,GARD:0000376,Acheiropodia,biolink:Disease,1,GARD:0000376,false,true,GARD
disease,GARD:0000377,"Adactylia, unilateral",biolink:Disease,1,GARD:0000377,false,true,GARD
disease,GARD:0000378,Johnson neuroectodermal syndrome,biolink:Disease,1,GARD:0000378,false,true,GARD
disease,GARD:0000379,Renal tubular dysgenesis,biolink:Disease,1,GARD:0000379,false,true,GARD
disease,GARD:0000380,Knobloch syndrome 1,biolink:Disease,1,GARD:0000380,false,true,GARD
disease,GARD:0000381,Arachnodactyly-abnormal ossification-intellectual disability syndrome,biolink:Disease,1,GARD:0000381,false,true,GARD
disease,GARD:0000383,Autosomal dominant osteopetrosis 2,biolink:Disease,1,GARD:0000383,false,true,GARD
disease,GARD:0000384,ADULT syndrome,biolink:Disease,1,GARD:0000384,false,true,GARD
disease,GARD:0000385,Zimmermann-Laband syndrome,biolink:Disease,1,GARD:0000385,false,true,GARD
disease,GARD:0000386,Tetraamelia-multiple malformations syndrome,biolink:Disease,1,GARD:0000386,false,true,GARD
disease,GARD:0000387,Combined immunodeficiency due to ZAP70 deficiency,biolink:Disease,1,GARD:0000387,false,true,GARD
disease,GARD:0000390,Worth disease,biolink:Disease,1,GARD:0000390,false,true,GARD
disease,GARD:0000391,Axial osteosclerosis,biolink:Disease,1,GARD:0000391,false,true,GARD
disease,GARD:0000392,Weinstein kliman scully syndrome,biolink:Disease,1,GARD:0000392,false,true,GARD
disease,GARD:0000393,Tungiasis,biolink:Disease,1,GARD:0000393,false,true,GARD
disease,GARD:0000394,Radioulnar synostosis-microcephaly-scoliosis syndrome,biolink:Disease,1,GARD:0000394,false,true,GARD
disease,GARD:0000395,Retinal degeneration-nanophthalmos-glaucoma syndrome,biolink:Disease,1,GARD:0000395,false,true,GARD
disease,GARD:0000396,Tularemia,biolink:Disease,1,GARD:0000396,false,true,GARD
disease,GARD:0000398,Bagatelle Cassidy syndrome,biolink:Disease,1,GARD:0000398,false,true,GARD
disease,GARD:0000399,"46,XX testicular disorder of sex development",biolink:Disease,1,GARD:0000399,false,true,GARD
disease,GARD:0000400,GAPO syndrome,biolink:Disease,1,GARD:0000400,false,true,GARD
disease,GARD:0000402,"Optic atrophy, hearing loss, and peripheral neuropathy, autosomal dominant",biolink:Disease,1,GARD:0000402,false,true,GARD
disease,GARD:0000404,Osteoporosis-oculocutaneous hypopigmentation syndrome,biolink:Disease,1,GARD:0000404,false,true,GARD
disease,GARD:0000405,Subaortic stenosis-short stature syndrome,biolink:Disease,1,GARD:0000405,false,true,GARD
disease,GARD:0000406,Foveal hypoplasia-presenile cataract syndrome,biolink:Disease,1,GARD:0000406,false,true,GARD
disease,GARD:0000407,Ermine phenotype,biolink:Disease,1,GARD:0000407,false,true,GARD
disease,GARD:0000408,Short stature due to growth hormone qualitative anomaly,biolink:Disease,1,GARD:0000408,false,true,GARD
disease,GARD:0000409,Pachygyria-intellectual disability-epilepsy syndrome,biolink:Disease,1,GARD:0000409,false,true,GARD
disease,GARD:0000411,Sanjad sakati syndrome,biolink:Disease,1,GARD:0000411,false,true,GARD
disease,GARD:0000412,Cheilitis glandularis,biolink:Disease,1,GARD:0000412,false,true,GARD
disease,GARD:0000413,Geroderma osteodysplastica,biolink:Disease,1,GARD:0000413,false,true,GARD
disease,GARD:0000414,Bamforth-Lazarus syndrome,biolink:Disease,1,GARD:0000414,false,true,GARD
disease,GARD:0000415,Pseudoprogeria syndrome,biolink:Disease,1,GARD:0000415,false,true,GARD
disease,GARD:0000417,Aloi Tomasini Isaia syndrome,biolink:Disease,1,GARD:0000417,false,true,GARD
disease,GARD:0000418,Essential pentosuria,biolink:Disease,1,GARD:0000418,false,true,GARD
disease,GARD:0000420,Mismatch repair cancer syndrome 1,biolink:Disease,1,GARD:0000420,false,true,GARD
